Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,keybert_skills,rake_skills,yake_skills
Measurement,4,Measurement 4,"Identifies and prioritises appropriate measures, scales and targets. _x000D_
Supports projects, functions or teams in the development of measurement methods. _x000D_
Specifies base and derived measures which support agreed information needs. Specifies how to collect and store the data for each required measure. Provides guidance on collection of data. _x000D_
Designs reports and reporting formats.",identifies prioritises appropriate measures scales targets _xd_ supports projects functions teams development measurement methods _xd_ specifies base derived measures support agreed information needs specifies collect store data required measure provides guidance collection data _xd_ designs reports reporting formats,"['store data', 'designs reports', 'derived', 'collect', 'collection data', 'xd', 'targets']","['target area', 'compile', 'gain', 'butt', 'pull in', 'deduct', 'pull together', 'fair game', 'direct', 'educe', 'descend', 'store data', 'cod', 'target', 'collect', 'accumulate', 'infer', 'point', 'pile up', 'garner', 'mark', 'xd', 'designs reports', 'place', 'derive', 'deduce', 'objective', 'call for', 'object', 'hoard', 'take in', 'derived', 'pick up', 'gather up', 'quarry', 'prey', 'come', 'aim', 'collection data', 'amass', 'roll up', 'gather', 'targets']",[],"['development measurement methods', 'guidance collection data', 'scales targets', 'reports reporting formats', '_xd_ specifies']",['identifies prioritises appropriate measures scales targets _xd_ supports projects functions teams development measurement methods _xd_ specifies base derived measures support agreed information needs specifies collect store data required measure provides guidance collection data _xd_ designs reports reporting formats'],"['development measurement methods', 'designs reports reporting', 'reports reporting formats', 'projects functions teams', 'functions teams development', 'teams development measurement', 'measures scales targets', 'supports projects functions', 'specifies base derived', 'support agreed information', 'specifies collect store', 'collect store data', 'store data required', 'guidance collection data', 'base derived measures']"
Measurement,5,Measurement 5,"Establishes measurement objectives and the scope of measurement for functions, teams and projects. _x000D_
Plans and implements improvements to measurement capability. Provides advice and guidance for effective use of measures and measurement.  _x000D_
Selects measures appropriate to the context and organisational objectives. Reviews data collection and storage mechanisms to support measurement._x000D_
Contributes to organisational policies, standards and guidelines for measurement.",establishes measurement objectives scope measurement functions teams projects _xd_ plans implements improvements measurement capability provides advice guidance effective use measures measurement _xd_ selects measures appropriate context organisational objectives reviews data collection storage mechanisms support measurement_xd_ contributes organisational policies standards guidelines measurement,"['mechanisms', 'organisational policy', 'storage', 'data collection', 'xd', 'plans']","['mechanics', 'contrive', 'mechanisms', 'chemical mechanism', 'repositing', 'entrepot', 'be after', 'program', 'store', 'programme', 'depot', 'storehouse', 'memory board', 'plans', 'project', 'computer storage', 'reposition', 'organisational policy', 'mechanism', 'memory', 'storage', 'warehousing', 'design', 'data collection', 'plan', 'xd', 'architectural plan', 'computer memory']",[],"['measurement objectives scope', 'support measurement_xd_ contributes', 'teams projects _xd_', 'policies standards guidelines', 'capability provides']",['establishes measurement objectives scope measurement functions teams projects _xd_ plans implements improvements measurement capability provides advice guidance effective use measures measurement _xd_ selects measures appropriate context organisational objectives reviews data collection storage mechanisms support measurement_xd_ contributes organisational policies standards guidelines measurement'],"['functions teams projects', 'plans implements improvements', 'contributes organisational policies', 'advice guidance effective', 'reviews data collection', 'data collection storage', 'collection storage mechanisms', 'storage mechanisms support', 'policies standards guidelines', 'objectives reviews data', 'organisational policies standards', 'context organisational objectives', 'organisational objectives reviews', 'establishes measurement objectives', 'scope measurement functions']"
Measurement,6,Measurement 6,"Leads the development of organisational capabilities for measurement (including automation). _x000D_
Creates the measurement framework and aligns measurement objectives with business objectives. _x000D_
Develops organisational policies, standards and guidelines for measurement. _x000D_
Provides resources to ensure adoption and adherence to policies and standards.",leads development organisational capabilities measurement including automation _xd_ creates measurement framework aligns measurement objectives business objectives _xd_ develops organisational policies standards guidelines measurement _xd_ provides resources ensure adoption adherence policies standards,"['organisational policy', 'automation', 'adoption', 'xd', 'resources']","['acceptance', 'mechanisation', 'organisational policy', 'borrowing', 'resource', 'automation', 'mechanization', 'adoption', 'acceptation', 'espousal', 'resourcefulness', 'xd', 'resources', 'imagination']",['organisation'],"['_xd_ develops organisational', 'capabilities measurement', 'guidelines measurement _xd_', 'measurement including automation', 'including automation _xd_']",['leads development organisational capabilities measurement including automation _xd_ creates measurement framework aligns measurement objectives business objectives _xd_ develops organisational policies standards guidelines measurement _xd_ provides resources ensure adoption adherence policies standards'],"['leads development organisational', 'develops organisational policies', 'resources ensure adoption', 'ensure adoption adherence', 'adoption adherence policies', 'policies standards guidelines', 'adherence policies standards', 'development organisational capabilities', 'measurement including automation', 'creates measurement framework', 'organisational policies standards', 'objectives business objectives', 'capabilities measurement including', 'measurement framework aligns', 'framework aligns measurement']"
Information security,2,Information security 2,"Assists with implementing and monitoring security policies and protocols across different systems._x000D_
Contributes to identifying and addressing potential risks in security governance and compliance._x000D_
Supports the analysis of documented security incidents, escalating where appropriate._x000D_
Assists in the review of access controls and permissions, ensuring adherence to security policies.",assists implementing monitoring security policies protocols across different systems_xd_ contributes identifying addressing potential risks security governance compliance_xd_ supports analysis documented security incidents escalating appropriate_xd_ assists review access controls permissions ensuring adherence security policies,"['security policy', 'analysis documented', 'supports analysis', 'governance', 'access control']","['security policy', 'analysis documented', 'administration', 'governing body', 'supports analysis', 'brass', 'organization', 'government', 'governing', 'establishment', 'government activity', 'governance', 'organisation', 'access control']",['analysis'],"['security governance compliance_xd_', 'assists implementing monitoring', 'different systems_xd_ contributes', 'incidents escalating appropriate_xd_', 'protocols different']",['assists implementing monitoring security policies protocols across different systems_xd_ contributes identifying addressing potential risks security governance compliance_xd_ supports analysis documented security incidents escalating appropriate_xd_ assists review access controls permissions ensuring adherence security policies'],"['contributes identifying addressing', 'supports analysis documented', 'assists implementing monitoring', 'assists review access', 'identifying addressing potential', 'addressing potential risks', 'review access controls', 'access controls permissions', 'controls permissions ensuring', 'permissions ensuring adherence', 'security governance compliance', 'implementing monitoring security', 'potential risks security', 'risks security governance', 'analysis documented security']"
Information security,3,Information security 3,"Applies and maintains specific security controls as required by organisational policy and local risk assessments._x000D_
Communicates security risks and issues to business managers and others. Performs basic risk assessments for small information systems. _x000D_
Contributes to the identification of risks that arise from potential technical solution architectures. Suggests alternate solutions or countermeasures to mitigate risks. Defines secure systems configurations in compliance with intended architectures._x000D_
Supports investigation of suspected attacks and security breaches.",applies maintains specific security controls required organisational policy local risk assessments_xd_ communicates security risks issues business managers others performs basic risk assessments small information systems _xd_ contributes identification risks arise potential technical solution architectures suggests alternate solutions countermeasures mitigate risks defines secure systems configurations compliance intended architectures_xd_ supports investigation suspected attacks security breaches,"['maintains', 'business managers', 'risk assessments', 'organisational policy', 'solution architecture', 'xd', 'secure systems', 'alternate', 'communicates security', 'mitigate risks', 'investigation', 'information system', 'security control', 'system configuration']","['maintains', 'maintain', 'sustain', 'assert', 'switch', 'solution architecture', 'conserve', 'replacement', 'investigation', 'alternating', 'keep up', 'system configuration', 'keep', 'defend', 'understudy', 'flip-flop', 'mitigate risks', 'investigating', 'alternative', 'interchange', 'xd', 'business managers', 'wield', 'secure systems', 'jump', 'surrogate', 'exert', 'security control', 'take turns', 'risk assessments', 'hold', 'organisational policy', 'uphold', 'observe', 'substitute', 'flip', 'probe', 'preserve', 'tack', 'alternate', 'communicates security', 'information system', 'asseverate']",[],"['compliance intended architectures_xd_', 'applies maintains specific', 'basic risk assessments', 'attacks security breaches', 'information systems']",['applies maintains specific security controls required organisational policy local risk assessments_xd_ communicates security risks issues business managers others performs basic risk assessments small information systems _xd_ contributes identification risks arise potential technical solution architectures suggests alternate solutions countermeasures mitigate risks defines secure systems configurations compliance intended architectures_xd_ supports investigation suspected attacks security breaches'],"['applies maintains specific', 'supports investigation suspected', 'assessments small information', 'controls required organisational', 'required organisational policy', 'organisational policy local', 'issues business managers', 'arise potential technical', 'configurations compliance intended', 'investigation suspected attacks', 'attacks security breaches', 'contributes identification risks', 'small information systems', 'potential technical solution', 'suggests alternate solutions']"
Information security,4,Information security 4,"Provides guidance on the application and operation of elementary physical, procedural and technical security controls. _x000D_
Explains the purpose of security controls and performs security risk and business impact analysis for medium complexity information systems. _x000D_
Identifies risks that arise from potential technical solution architectures. Designs alternate solutions or countermeasures and ensures they manage identified risks. _x000D_
Investigates suspected attacks and supports security incident management.",provides guidance application operation elementary physical procedural technical security controls _xd_ explains purpose security controls performs security risk business impact analysis medium complexity information systems _xd_ identifies risks arise potential technical solution architectures designs alternate solutions countermeasures ensures manage identified risks _xd_ investigates suspected attacks supports security incident management,"['risk business', 'solution architecture', 'xd', 'manage', 'investigates', 'alternate', 'incident management', 'information system', 'security control', 'physical', 'operation']","['bring off', 'risk business', 'enquire', 'surgical process', 'switch', 'solution architecture', 'manage', 'look into', 'investigates', 'pull off', 'replacement', 'carry off', 'get by', 'physical', 'alternating', 'finagle', 'inquire', 'surgical procedure', 'mental process', 'negociate', 'handle', 'oversee', 'understudy', 'supervise', 'forcible', 'do', 'flip-flop', 'mathematical operation', 'make do', 'cope', 'alternative', 'xd', 'interchange', 'care', 'deal', 'strong-arm', 'wield', 'make out', 'cognitive process', 'contend', 'superintend', 'surgery', 'jump', 'incident management', 'cognitive operation', 'surrogate', 'security control', 'take turns', 'mathematical process', 'military operation', 'investigate', 'wangle', 'process', 'procedure', 'substitute', 'flip', 'performance', 'tack', 'grapple', 'alternate', 'functioning', 'information system', 'surgical operation', 'operation']","['analysis', 'security incident management']","['guidance application operation', 'technical security controls', 'information systems _xd_', '_xd_ identifies risks', 'impact analysis medium']",['provides guidance application operation elementary physical procedural technical security controls _xd_ explains purpose security controls performs security risk business impact analysis medium complexity information systems _xd_ identifies risks arise potential technical solution architectures designs alternate solutions countermeasures ensures manage identified risks _xd_ investigates suspected attacks supports security incident management'],"['complexity information systems', 'investigates suspected attacks', 'guidance application operation', 'application operation elementary', 'operation elementary physical', 'elementary physical procedural', 'business impact analysis', 'impact analysis medium', 'analysis medium complexity', 'medium complexity information', 'architectures designs alternate', 'countermeasures ensures manage', 'ensures manage identified', 'suspected attacks supports', 'identifies risks arise']"
Information security,5,Information security 5,"Provides advice and guidance on security strategies to manage identified risks and ensure adoption and adherence to standards. _x000D_
Contributes to development of information security policy, standards and guidelines. _x000D_
Obtains and acts on vulnerability information and conducts security risk assessments, business impact analysis and accreditation on complex information systems. Investigates major breaches of security and recommends appropriate control improvements. _x000D_
Develops new architectures that manage the risks posed by new technologies and business practices.",provides advice guidance security strategies manage identified risks ensure adoption adherence standards _xd_ contributes development information security policy standards guidelines _xd_ obtains acts vulnerability information conducts security risk assessments business impact analysis accreditation complex information systems investigates major breaches security recommends appropriate control improvements _xd_ develops new architectures manage risks posed new technologies business practices,"['security policy', 'vulnerability', 'risk business', 'security assessments', 'control', 'manage', 'investigates', 'security strategy', 'acts', 'manage risks', 'adoption', 'information system', 'xd', 'technologies business']","['control', 'look into', 'ascendency', 'dissemble', 'pull off', 'dominance', 'contain', 'carry off', 'ascertain', 'espousal', 'roleplay', 'inquire', 'act', 'mastery', 'oversee', 'handle', 'control condition', 'supervise', 'play', 'make do', 'acts of the apostles', 'number', 'xd', 'keep in line', 'work', 'act as', 'care', 'deal', 'represent', 'check', 'master', 'bit', 'human action', 'wield', 'manage risks', 'acceptation', 'ascendance', 'security policy', 'wangle', 'ascendancy', 'playact', 'acts', 'human activity', 'adoption', 'see to it', 'command', 'bring off', 'security assessments', 'risk business', 'enquire', 'manage', 'investigates', 'move', 'curb', 'get by', 'ascendence', 'insure', 'finagle', 'deed', 'acceptance', 'controller', 'pretend', 'borrowing', 'negociate', 'security strategy', 'restraint', 'do', 'cope', 'exposure', 'operate', 'behave', 'enactment', 'make out', 'contend', 'superintend', 'moderate', 'turn', 'assure', 'manipulate', 'routine', 'investigate', 'hold in', 'hold', 'vulnerability', 'ensure', 'verify', 'see', 'grapple', 'information system', 'technologies business']","['impact analysis', 'information security']","['advice guidance security', 'vulnerability information conducts', 'technologies business practices', 'standards _xd_ contributes', 'analysis accreditation complex']",['provides advice guidance security strategies manage identified risks ensure adoption adherence standards _xd_ contributes development information security policy standards guidelines _xd_ obtains acts vulnerability information conducts security risk assessments business impact analysis accreditation complex information systems investigates major breaches security recommends appropriate control improvements _xd_ develops new architectures manage risks posed new technologies business practices'],"['obtains acts vulnerability', 'policy standards guidelines', 'technologies business practices', 'ensure adoption adherence', 'impact analysis accreditation', 'analysis accreditation complex', 'systems investigates major', 'investigates major breaches', 'contributes development information', 'strategies manage identified', 'adoption adherence standards', 'assessments business impact', 'business impact analysis', 'identified risks ensure', 'risks ensure adoption']"
Information security,6,Information security 6,"Develops and communicates corporate information security policy, standards and guidelines.  _x000D_
Ensures architectural principles are applied during design to reduce risk. Drives adoption and adherence to policy, standards and guidelines. _x000D_
Contributes to the development of organisational strategies that address information control requirements. Identifies and monitors environmental and market trends and proactively assesses impact on business strategies, benefits and risks. _x000D_
Leads the provision of authoritative advice and guidance on the requirements for security controls in collaboration with subject matter experts.",develops communicates corporate information security policy standards guidelines _xd_ ensures architectural principles applied design reduce risk drives adoption adherence policy standards guidelines _xd_ contributes development organisational strategies address information control requirements identifies monitors environmental market trends proactively assesses impact business strategies benefits risks _xd_ leads provision authoritative advice guidance requirements security controls collaboration subject matter experts,"['collaboration', 'security policy', 'assesses impact', 'monitors environmental', 'proactively', 'business strategy', 'xd', 'corporate', 'information control', 'communicates corporate', 'adoption', 'develops communicates', 'subject matter', 'market trend', 'security control']","['collaboration', 'assesses impact', 'proactively', 'business strategy', 'corporate', 'information control', 'collective', 'espousal', 'acceptation', 'develops communicates', 'subject matter', 'collaborationism', 'bodied', 'security control', 'corporal', 'security policy', 'monitors environmental', 'acceptance', 'borrowing', 'incorporated', 'incarnate', 'embodied', 'communicates corporate', 'adoption', 'coaction', 'market trend', 'xd', 'quislingism']","['information control', 'collaboration', 'information security']","['security policy standards', 'communicates corporate information', '_xd_ contributes development', 'leads provision authoritative', 'identifies monitors environmental']",['develops communicates corporate information security policy standards guidelines _xd_ ensures architectural principles applied design reduce risk drives adoption adherence policy standards guidelines _xd_ contributes development organisational strategies address information control requirements identifies monitors environmental market trends proactively assesses impact business strategies benefits risks _xd_ leads provision authoritative advice guidance requirements security controls collaboration subject matter experts'],"['policy standards guidelines', 'develops communicates corporate', 'ensures architectural principles', 'contributes development organisational', 'leads provision authoritative', 'subject matter experts', 'adherence policy standards', 'architectural principles applied', 'principles applied design', 'applied design reduce', 'drives adoption adherence', 'identifies monitors environmental', 'monitors environmental market', 'environmental market trends', 'market trends proactively']"
Information security,7,Information security 7,"Directs the development, implementation, delivery and support of an enterprise information security strategy aligned with the business strategy. _x000D_
Ensures compliance between business strategies and information security. _x000D_
Leads the provision of information security expertise, guidance and systems needed to execute strategic and operational plans._x000D_
Secures organisational resources to execute the information security strategy.",directs development implementation delivery support enterprise information security strategy aligned business strategy _xd_ ensures compliance business strategies information security _xd_ leads provision information security expertise guidance systems needed execute strategic operational plans_xd_ secures organisational resources execute information security strategy,"['operational', 'business strategy', 'enterprise information', 'execute', 'security strategy', 'aligned business', 'guidance system', 'xd', 'information security', 'resources']","['carry through', 'operational', 'business strategy', 'usable', 'put to death', 'perform', 'execute', 'resource', 'fulfil', 'aligned business', 'guidance system', 'resourcefulness', 'operating', 'resources', 'carry out', 'imagination', 'operable', 'accomplish', 'run', 'useable', 'enterprise information', 'xd', 'security strategy', 'action', 'in operation', 'do', 'fulfill', 'functional', 'information security']",['information security strategy'],"['plans_xd_ secures organisational', 'development implementation delivery', 'compliance business strategies', 'execute strategic operational', 'information security expertise']",['directs development implementation delivery support enterprise information security strategy aligned business strategy _xd_ ensures compliance business strategies information security _xd_ leads provision information security expertise guidance systems needed execute strategic operational plans_xd_ secures organisational resources execute information security strategy'],"['information security strategy', 'directs development implementation', 'strategic operational plans', 'secures organisational resources', 'leads provision information', 'security expertise guidance', 'ensures compliance business', 'enterprise information security', 'strategies information security', 'provision information security', 'information security expertise', 'development implementation delivery', 'implementation delivery support', 'delivery support enterprise', 'expertise guidance systems']"
Information assurance,2,Information assurance 2,"Assists with information assurance activities under routine supervision._x000D_
Helps perform basic risk assessments and supports the implementation of information assurance measures._x000D_
Assists in maintaining records and documentation related to information assurance.",assists information assurance activities routine supervision_xd_ helps perform basic risk assessments supports implementation information assurance measures_xd_ assists maintaining records documentation related information assurance,"['information assurance', 'risk assessments', 'activities', 'maintaining']","['maintain', 'sustain', 'assert', 'wield', 'conserve', 'activities', 'maintaining', 'exert', 'keep up', 'natural action', 'risk assessments', 'activeness', 'keep', 'hold', 'defend', 'uphold', 'observe', 'action', 'bodily process', 'preserve', 'activity', 'bodily function', 'natural process', 'information assurance', 'body process', 'asseverate']",['information assurance'],"['assists information assurance', 'routine supervision_xd_', 'assurance measures_xd_', 'records documentation related', 'basic risk assessments']",['assists information assurance activities routine supervision_xd_ helps perform basic risk assessments supports implementation information assurance measures_xd_ assists maintaining records documentation related information assurance'],"['activities routine supervision', 'assists maintaining records', 'information assurance measures', 'perform basic risk', 'basic risk assessments', 'risk assessments supports', 'assessments supports implementation', 'maintaining records documentation', 'records documentation related', 'assists information assurance', 'assurance activities routine', 'supports implementation information', 'documentation related information', 'information assurance activities', 'implementation information assurance']"
Information assurance,3,Information assurance 3,"Follows standard approaches for the technical assessment of information systems against information assurance policies and business objectives. _x000D_
Makes routine accreditation decisions. Recognises decisions that are beyond their scope and responsibility level and escalates according._x000D_
Reviews and performs risk assessments and risk treatment plans. Identifies typical risk indicators and explains prevention measures._x000D_
Maintains integrity of records to support and justify decisions.",follows standard approaches technical assessment information systems information assurance policies business objectives _xd_ makes routine accreditation decisions recognises decisions beyond scope responsibility level escalates according_xd_ reviews performs risk assessments risk treatment plans identifies typical risk indicators explains prevention measures_xd_ maintains integrity records support justify decisions,"['maintains', 'integrity', 'risk indicators', 'decisions', 'reviews performs', 'treatment plans', 'level', 'risk assessments risk', 'information assurance', 'information system', 'xd']","['maintains', 'maintain', 'sustain', 'assert', 'even out', 'dismantle', 'pull down', 'conserve', 'raze', 'unwavering', 'treatment plans', 'level', 'risk assessments risk', 'wholeness', 'decision', 'keep up', 'keep', 'integrity', 'floor', 'defend', 'flat', 'unity', 'risk indicators', 'degree', 'grade', 'decisiveness', 'reviews performs', 'point', 'spirit level', 'tier', 'information assurance', 'decisions', 'xd', 'tear down', 'horizontal surface', 'wield', 'story', 'charge', 'stage', 'exert', 'take down', 'stratum', 'conclusion', 'rase', 'hold', 'layer', 'observe', 'uphold', 'determination', 'tied', 'storey', 'preserve', 'flush', 'even', 'plane', 'level off', 'information system', 'asseverate']","['information assurance', 'integrity']","['information assurance policies', 'approaches technical assessment', 'accreditation decisions recognises', 'explains prevention measures_xd_', 'objectives _xd_ makes']",['follows standard approaches technical assessment information systems information assurance policies business objectives _xd_ makes routine accreditation decisions recognises decisions beyond scope responsibility level escalates according_xd_ reviews performs risk assessments risk treatment plans identifies typical risk indicators explains prevention measures_xd_ maintains integrity records support justify decisions'],"['policies business objectives', 'makes routine accreditation', 'explains prevention measures', 'maintains integrity records', 'standard approaches technical', 'assurance policies business', 'scope responsibility level', 'responsibility level escalates', 'treatment plans identifies', 'plans identifies typical', 'indicators explains prevention', 'integrity records support', 'records support justify', 'reviews performs risk', 'approaches technical assessment']"
Information assurance,4,Information assurance 4,"Performs technical assessments and/or accreditation of complex or higher-risk information systems. _x000D_
Identifies risk mitigation measures required in addition to the standard organisation or domain measures. _x000D_
Establishes the requirement for accreditation evidence from delivery partners and communicates accreditation requirements to stakeholders.  _x000D_
Contributes to planning and organisation of information assurance and accreditation activities. Contributes to development of and implementation of information assurance processes.",performs technical assessments andor accreditation complex higherrisk information systems _xd_ identifies risk mitigation measures required addition standard organisation domain measures _xd_ establishes requirement accreditation evidence delivery partners communicates accreditation requirements stakeholders _xd_ contributes planning organisation information assurance accreditation activities contributes development implementation information assurance processes,"['requirements stakeholders', 'risk mitigation', 'addition', 'planning', 'activities', 'information assurance', 'information system', 'xd', 'communicates']","['increase', 'requirements stakeholders', 'contrive', 'gain', 'pass on', 'planning', 'communicate', 'convey', 'project', 'preparation', 'transmit', 'action', 'bodily process', 'bodily function', 'information assurance', 'risk mitigation', 'body process', 'xd', 'put across', 'plus', 'be after', 'improver', 'pass along', 'activities', 'addition', 'summation', 'commune', 'accession', 'intercommunicate', 'natural action', 'provision', 'activeness', 'design', 'activity', 'add-on', 'natural process', 'plan', 'information system', 'pass', 'communicates']",[],"['assurance accreditation activities', 'information systems _xd_', 'organisation domain measures', 'development implementation information', 'measures required addition']",['performs technical assessments andor accreditation complex higherrisk information systems _xd_ identifies risk mitigation measures required addition standard organisation domain measures _xd_ establishes requirement accreditation evidence delivery partners communicates accreditation requirements stakeholders _xd_ contributes planning organisation information assurance accreditation activities contributes development implementation information assurance processes'],"['performs technical assessments', 'identifies risk mitigation', 'higherrisk information systems', 'information assurance processes', 'technical assessments andor', 'required addition standard', 'evidence delivery partners', 'delivery partners communicates', 'risk mitigation measures', 'mitigation measures required', 'measures required addition', 'addition standard organisation', 'standard organisation domain', 'activities contributes development', 'contributes development implementation']"
Information assurance,5,Information assurance 5,"Interprets information assurance and security policies and applies these to manage risks. _x000D_
Provides advice and guidance to ensure adoption of and adherence to information assurance architectures, strategies, policies, standards and guidelines. _x000D_
Plans, organises and conducts information assurance and accreditation of complex domains areas, cross-functional areas and across the supply chain. _x000D_
Contributes to the development of policies, standards and guidelines.",interprets information assurance security policies applies manage risks _xd_ provides advice guidance ensure adoption adherence information assurance architectures strategies policies standards guidelines _xd_ plans organises conducts information assurance accreditation complex domains areas crossfunctional areas across supply chain _xd_ contributes development policies standards guidelines,"['security policy', 'manage risks', 'supply chain', 'adoption', 'information assurance', 'xd', 'plans', 'development policies']","['contrive', 'be after', 'program', 'programme', 'manage risks', 'supply chain', 'acceptation', 'espousal', 'plans', 'security policy', 'project', 'acceptance', 'borrowing', 'design', 'adoption', 'plan', 'information assurance', 'xd', 'architectural plan', 'development policies']",['information assurance'],"['interprets information assurance', 'guidelines _xd_ plans', 'security policies applies', 'areas supply chain', 'adoption adherence information']",['interprets information assurance security policies applies manage risks _xd_ provides advice guidance ensure adoption adherence information assurance architectures strategies policies standards guidelines _xd_ plans organises conducts information assurance accreditation complex domains areas crossfunctional areas across supply chain _xd_ contributes development policies standards guidelines'],"['policies standards guidelines', 'applies manage risks', 'plans organises conducts', 'interprets information assurance', 'contributes development policies', 'advice guidance ensure', 'guidance ensure adoption', 'ensure adoption adherence', 'accreditation complex domains', 'strategies policies standards', 'development policies standards', 'adoption adherence information', 'assurance architectures strategies', 'organises conducts information', 'assurance accreditation complex']"
Information assurance,6,Information assurance 6,"Develops information assurance policy, standards and guidelines. _x000D_
Contributes to the development of organisational strategies that address the evolving business risk and information control requirements. _x000D_
Drives adoption of and adherence to policies and standards. Ensures architectural principles are followed, requirements are defined and rigorous security testing is applied. Ensures accreditation processes support and enable organisational objectives._x000D_
Monitors environmental and market trends and assesses any impact on organisational strategies, benefits and risks.",develops information assurance policy standards guidelines _xd_ contributes development organisational strategies address evolving business risk information control requirements _xd_ drives adoption adherence policies standards ensures architectural principles followed requirements defined rigorous security testing applied ensures accreditation processes support enable organisational objectives_xd_ monitors environmental market trends assesses impact organisational strategies benefits risks,"['assesses impact', 'monitors environmental', 'xd', 'business risk', 'adoption', 'information assurance', 'market trend', 'security testing']","['assesses impact', 'monitors environmental', 'acceptance', 'security testing', 'borrowing', 'business risk', 'adoption', 'acceptation', 'espousal', 'information assurance', 'market trend', 'xd']","['information assurance', 'control']","['assurance policy standards', 'information control requirements', 'enable organisational', '_xd_ contributes development', 'monitors environmental market']",['develops information assurance policy standards guidelines _xd_ contributes development organisational strategies address evolving business risk information control requirements _xd_ drives adoption adherence policies standards ensures architectural principles followed requirements defined rigorous security testing applied ensures accreditation processes support enable organisational objectives_xd_ monitors environmental market trends assesses impact organisational strategies benefits risks'],"['drives adoption adherence', 'monitors environmental market', 'develops information assurance', 'policy standards guidelines', 'contributes development organisational', 'enable organisational objectives', 'address evolving business', 'adoption adherence policies', 'defined rigorous security', 'rigorous security testing', 'security testing applied', 'accreditation processes support', 'processes support enable', 'environmental market trends', 'market trends assesses']"
Information assurance,7,Information assurance 7,"Directs the creation and review of an enterprise information assurance strategy to support the strategic requirements of the business._x000D_
Ensures compliance between business strategies and information assurance by setting strategies, policies, standards and practices. _x000D_
Leads the provision of information assurance expertise, advice and guidance across all of the organisation's information and information systems.",directs creation review enterprise information assurance strategy support strategic requirements business_xd_ ensures compliance business strategies information assurance setting strategies policies standards practices _xd_ leads provision information assurance expertise advice guidance across organisations information information systems,"['standards practices', 'business strategy', 'information assurance', 'information system', 'xd']","['standards practices', 'business strategy', 'information assurance', 'information system', 'xd']",['information assurance'],"['strategies information assurance', 'guidance organisations information', 'requirements business_xd_ ensures', 'creation review enterprise', 'practices _xd_ leads']",['directs creation review enterprise information assurance strategy support strategic requirements business_xd_ ensures compliance business strategies information assurance setting strategies policies standards practices _xd_ leads provision information assurance expertise advice guidance across organisations information information systems'],"['policies standards practices', 'directs creation review', 'ensures compliance business', 'creation review enterprise', 'strategy support strategic', 'support strategic requirements', 'expertise advice guidance', 'assurance strategy support', 'assurance expertise advice', 'leads provision information', 'strategic requirements business', 'setting strategies policies', 'strategies policies standards', 'assurance setting strategies', 'review enterprise information']"
Information and data compliance,4,Information and data compliance 4,"Supports the implementation of policy, standards and guidelines related to information and data legislation and compliance requirements._x000D_
Monitors the implementation of effective controls for internal delegation, audit and control relating to information management._x000D_
Reports on the consolidated status of information controls to inform effective decision-making._x000D_
Identifies risks around the use of information  and data that is subject to specific legislation. Recommends remediation actions as required.",supports implementation policy standards guidelines related information data legislation compliance requirements_xd_ monitors implementation effective controls internal delegation audit control relating information management_xd_ reports consolidated status information controls inform effective decisionmaking_xd_ identifies risks around use information data subject specific legislation recommends remediation actions required,"['legislation', 'control', 'remediation actions', 'audit', 'reports consolidated', 'information controls', 'controls internal']","['scrutinize', 'information controls', 'control', 'ascendency', 'inspect', 'dominance', 'contain', 'curb', 'ascertain', 'reports consolidated', 'ascendence', 'statute law', 'insure', 'audited account', 'legislation', 'controller', 'mastery', 'control condition', 'restraint', 'scrutinise', 'keep in line', 'operate', 'check', 'master', 'remediation actions', 'moderate', 'assure', 'manipulate', 'legislating', 'ascendance', 'hold in', 'hold', 'ascendancy', 'ensure', 'verify', 'see', 'audit', 'see to it', 'lawmaking', 'controls internal', 'command']","['delegation', 'inform']","['legislation compliance requirements_xd_', 'information controls inform', 'effective decisionmaking_xd_ identifies', 'supports implementation policy', 'recommends remediation actions']",['supports implementation policy standards guidelines related information data legislation compliance requirements_xd_ monitors implementation effective controls internal delegation audit control relating information management_xd_ reports consolidated status information controls inform effective decisionmaking_xd_ identifies risks around use information data subject specific legislation recommends remediation actions required'],"['reports consolidated status', 'remediation actions required', 'supports implementation policy', 'legislation compliance requirements', 'inform effective decisionmaking', 'policy standards guidelines', 'standards guidelines related', 'internal delegation audit', 'recommends remediation actions', 'data subject specific', 'relating information management', 'monitors implementation effective', 'implementation policy standards', 'subject specific legislation', 'specific legislation recommends']"
