Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,skills_skillner_keybert,skills_ner_bert_keybert,skills_skillner_qe_keybert,skills_skillner_rake,skills_skillner_yake,skills_ner_bert_rake,skills_ner_bert_yake,skills_skillner_count,skills_skillner_qe_count,skills_ner_bert_count,skills_skillner_keybert_count,skills_ner_bert_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count,skills_ner_bert_rake_count,skills_ner_bert_yake_count
Organisation design and implementation,7,Organisation design and implementation 7,"Establishes and communicates the need and rationale for organisational structure and culture change. _x000D_
Secures organisational commitment and resources needed for organisational and culture change. _x000D_
Leads organisational change by removing obstacles, advocating and lobbying for change at the highest levels. _x000D_
Puts in place mechanisms to reinforce and embed organisational and culture change. Acts as a role model for desired behaviours and sets consistent standards and expectations.",establishes communicates need rationale organisational structure culture change _xd_ secures organisational commitment resources needed organisational culture change _xd_ leads organisational change removing obstacles advocating lobbying change highest levels _xd_ puts place mechanisms reinforce embed organisational culture change acts role model desired behaviours sets consistent standards expectations,"['culture change', 'acts', 'highest levels', 'lobbying', 'communicates', 'xd', 'reinforce', 'mechanisms', 'resources']","['play', 'put across', 'behave', 'highest levels', 'roleplay', 'mechanism', 'xd', 'commune', 'human activity', 'bit', 'resourcefulness', 'do', 'reenforce', 'communicate', 'dissemble', 'culture change', 'acts', 'imagination', 'enactment', 'lobby', 'pass', 'transmit', 'resource', 'mechanisms', 'resources', 'reward', 'playact', 'act as', 'intercommunicate', 'lobbying', 'buttonhole', 'convey', 'pretend', 'human action', 'acts of the apostles', 'turn', 'number', 'deed', 'chemical mechanism', 'communicates', 'reinforce', 'routine', 'pass on', 'mechanics', 'pass along', 'move', 'act', 'represent', 'work']",['organisation'],"['lobbying communicates xd', 'culture change', 'highest levels lobbying', 'reinforce mechanisms resources', 'acts highest levels']",['organisation'],"['roleplay mechanism xd', 'resources reward playact', 'commune human activity', 'behave highest levels', 'enactment lobby pass']",['culture change acts highest levels lobbying communicates xd reinforce mechanisms resources'],"['culture change acts', 'reinforce mechanisms resources', 'change acts highest', 'acts highest levels', 'highest levels lobbying', 'levels lobbying communicates', 'culture change', 'mechanisms resources', 'change acts', 'acts highest', 'highest levels', 'levels lobbying', 'lobbying communicates', 'communicates xd reinforce', 'reinforce mechanisms']",['organisation'],['organisation'],9,49,1,5,1,5,1,15,1,1
Organisational change management,2,Organisational change management 2,"Assists with organisational change management tasks under routine supervision._x000D_
Supports the collection and analysis of data related to change readiness and impact._x000D_
Helps document and communicate change management plans and activities.",assists organisational change management tasks routine supervision_xd_ supports collection analysis data related change readiness impact_xd_ helps document communicate change management plans activities,"['plans', 'change management', 'activities', 'collection', 'analysis data', 'communicate']","['put across', 'commune', 'programme', 'solicitation', 'appeal', 'action', 'communicate', 'accumulation', 'bodily process', 'plan', 'aggregation', 'pass', 'change management', 'transmit', 'compendium', 'contrive', 'architectural plan', 'natural process', 'assemblage', 'analysis data', 'ingathering', 'intercommunicate', 'collecting', 'convey', 'design', 'be after', 'collection', 'activeness', 'activity', 'body process', 'natural action', 'program', 'bodily function', 'plans', 'pass on', 'pass along', 'activities', 'assembling', 'project']","['change management', 'analysis']","['plans change management', 'activities collection', 'management activities', 'analysis data communicate', 'collection analysis data']","['change management analysis', 'change management', 'management', 'change', 'analysis']","['commune programme solicitation', 'appeal action communicate', 'contrive architectural', 'activity body process', 'plan aggregation pass']",['plans change management activities collection analysis data communicate'],"['plans change management', 'analysis data communicate', 'change management activities', 'management activities collection', 'activities collection analysis', 'collection analysis data', 'plans change', 'data communicate', 'change management', 'management activities', 'activities collection', 'collection analysis', 'analysis data', 'plans', 'communicate']",['change management analysis'],"['change management analysis', 'change management', 'management analysis', 'change', 'analysis', 'management']",6,39,2,5,5,5,1,15,1,6
Organisational change management,3,Organisational change management 3,"Follows standard techniques to investigate and analyse the size, nature and impact of changes to operational activities. _x000D_
Contributes to change management plans and actions, focusing on the procedural execution of change. _x000D_
Supports implementation and engages with stakeholders under direction.",follows standard techniques investigate analyse size nature impact changes operational activities _xd_ contributes change management plans actions focusing procedural execution change _xd_ supports implementation engages stakeholders direction,"['operational', 'engages stakeholders', 'xd', 'plans', 'change management', 'investigate', 'execution', 'activities', 'nature']","['functional', 'operational', 'performance', 'engages stakeholders', 'execution of instrument', 'slaying', 'xd', 'programme', 'death penalty', 'nature', 'action', 'operable', 'useable', 'look into', 'plan', 'bodily process', 'operating', 'change management', 'instruction execution', 'investigate', 'executing', 'contrive', 'architectural plan', 'natural process', 'usable', 'writ of execution', 'in operation', 'execution', 'design', 'be after', 'activeness', 'activity', 'carrying out', 'murder', 'carrying into action', 'implementation', 'inquire', 'natural action', 'body process', 'program', 'bodily function', 'plans', 'activities', 'enquire', 'project', 'capital punishment']",['change management'],"['operational engages stakeholders', 'stakeholders xd', 'change management investigate', 'xd plans change', 'execution activities nature']","['change management', 'management', 'change']","['functional operational performance', 'stakeholders execution instrument', 'process program bodily', 'carrying action implementation', 'project capital punishment']",['operational engages stakeholders xd plans change management investigate execution activities nature'],"['operational engages stakeholders', 'execution activities nature', 'plans change management', 'change management investigate', 'management investigate execution', 'investigate execution activities', 'operational engages', 'activities nature', 'engages stakeholders', 'stakeholders xd plans', 'plans change', 'change management', 'management investigate', 'investigate execution', 'execution activities']",['change management'],"['change management', 'change', 'management']",9,46,1,5,3,5,1,15,1,3
Organisational change management,4,Organisational change management 4,"Conducts readiness assessments to assess the size, nature and impact of organisational change. _x000D_
Defines tactics to use considering the challenges to be addressed. Provides guidance and makes suggestions to support individuals responsible for operational implementation of change management activities._x000D_
Gathers feedback to analyse the impact and effectiveness of the change management activities being deployed. Takes corrective action as required._x000D_
Develops and communicates tailored change management plans. Establishes and builds relationships with the project sponsors and key stakeholders.",conducts readiness assessments assess size nature impact organisational change _xd_ defines tactics use considering challenges addressed provides guidance makes suggestions support individuals responsible operational implementation change management activities_xd_ gathers feedback analyse impact effectiveness change management activities deployed takes corrective action required_xd_ develops communicates tailored change management plans establishes builds relationships project sponsors key stakeholders,"['operational', 'xd', 'plans', 'change management', 'activities', 'nature', 'develops communicates', 'builds relationships', 'corrective action']","['functional', 'architectural plan', 'operational', 'xd', 'in operation', 'programme', 'design', 'nature', 'be after', 'activeness', 'activity', 'action', 'body process', 'operable', 'natural action', 'useable', 'program', 'plan', 'bodily process', 'bodily function', 'plans', 'operating', 'change management', 'activities', 'contrive', 'project', 'develops communicates', 'natural process', 'builds relationships', 'usable', 'corrective action']",['change management'],"['operational xd plans', 'change management activities', 'plans change', 'relationships corrective action', 'develops communicates']","['change management', 'management', 'change']","['functional architectural plan', 'operational xd operation', 'management activities contrive', 'bodily process bodily', 'natural process builds']",['operational xd plans change management activities nature develops communicates builds relationships corrective action'],"['relationships corrective action', 'plans change management', 'change management activities', 'management activities nature', 'activities nature develops', 'nature develops communicates', 'develops communicates builds', 'communicates builds relationships', 'builds relationships corrective', 'operational xd plans', 'corrective action', 'plans change', 'change management', 'management activities', 'activities nature']",['change management'],"['change management', 'change', 'management']",9,31,1,5,3,5,1,15,1,3
Organisational change management,5,Organisational change management 5,"Develops the change management approach and a change management plan in collaboration with sponsors, users and project teams. _x000D_
Creates and implements action plans to ensure readiness for change before going live. Acquires change management resources and develops their capabilities to deliver the required changes._x000D_
Gathers feedback to allow timely improvements to the change management plan and approach. Assesses risks and takes preventative action. _x000D_
Develops and communicates tailored change management plans for senior stakeholder groups. Provides guidance to support change sponsors.",develops change management approach change management plan collaboration sponsors users project teams _xd_ creates implements action plans ensure readiness change going live acquires change management resources develops capabilities deliver required changes_xd_ gathers feedback allow timely improvements change management plan approach assesses risks takes preventative action _xd_ develops communicates tailored change management plans senior stakeholder groups provides guidance support change sponsors,"['plan', 'develops capabilities', 'xd', 'plans', 'change management', 'develops communicates', 'preventative action', 'collaboration', 'resources']","['collaborationism', 'develops capabilities', 'xd', 'programme', 'project', 'resourcefulness', 'design', 'be after', 'collaboration', 'program', 'plan', 'imagination', 'plans', 'change management', 'quislingism', 'coaction', 'resource', 'contrive', 'architectural plan', 'develops communicates', 'preventative action', 'resources']","['change management', 'collaboration']","['plan develops capabilities', 'preventative action collaboration', 'xd plans change', 'capabilities xd', 'change management']","['change management collaboration', 'change management', 'collaboration', 'management', 'change']","['resourcefulness design collaboration', 'collaboration program plan', 'contrive architectural plan', 'xd programme project', 'management quislingism coaction']",['plan develops capabilities xd plans change management develops communicates preventative action collaboration resources'],"['action collaboration resources', 'communicates preventative action', 'preventative action collaboration', 'plans change management', 'change management develops', 'management develops communicates', 'develops communicates preventative', 'plan develops capabilities', 'collaboration resources', 'change management', 'communicates preventative', 'preventative action', 'action collaboration', 'develops capabilities', 'plans change']",['change management collaboration'],"['change management collaboration', 'change management', 'management collaboration', 'change', 'collaboration', 'management']",9,22,2,5,5,5,1,15,1,6
Organisational change management,6,Organisational change management 6,"Defines and communicates the approach for change management for a significant part of the organisation. _x000D_
Initiates, plans and leads strategic, large and complex change management initiatives. Provides guidance to change leaders, emphasising the technical and procedural aspects of change._x000D_
Establishes feedback processes and leads analyses of change management successes.  _x000D_
Enables continual improvements to change management methodology, tools and training necessary to enhance the maturity across the organisation.",defines communicates approach change management significant part organisation _xd_ initiates plans leads strategic large complex change management initiatives provides guidance change leaders emphasising technical procedural aspects change_xd_ establishes feedback processes leads analyses change management successes _xd_ enables continual improvements change management methodology tools training necessary enhance maturity across organisation,"['communicates approach', 'xd', 'plans', 'change management', 'tools']","['joyride', 'peter', 'xd', 'programme', 'project', 'creature', 'cock', 'puppet', 'design', 'dick', 'be after', 'putz', 'tool around', 'prick', 'communicates approach', 'program', 'plan', 'plans', 'change management', 'pecker', 'shaft', 'tool', 'tools', 'contrive', 'architectural plan', 'instrument']",['change management'],"['xd plans change', 'plans change management', 'management tools', 'communicates approach', 'approach xd']","['change management', 'management', 'change']","['cock puppet design', 'management pecker shaft', 'xd programme', 'tool tools contrive', 'plan plans change']",['communicates approach xd plans change management tools'],"['change management tools', 'plans change management', 'communicates approach', 'management tools', 'approach xd plans', 'plans change', 'change management', 'communicates', 'tools', 'approach', 'plans', 'change', 'management']",['change management'],"['change management', 'change', 'management']",5,26,1,5,3,5,1,13,1,3
Organisational change enablement,4,Organisational change enablement 4,"Supports teams in adopting new practices, providing ongoing resources and guidance. _x000D_
Facilitates a safe environment for exploring challenges related to change. _x000D_
Assists with engagement sessions to secure leadership commitment, focusing on the behavioural aspects of change._x000D_
Addresses issues that arise during implementation, ensuring minimal disruption.",supports teams adopting new practices providing ongoing resources guidance _xd_ facilitates safe environment exploring challenges related change _xd_ assists engagement sessions secure leadership commitment focusing behavioural aspects change_xd_ addresses issues arise implementation ensuring minimal disruption,"['adopting', 'xd', 'safe', 'leadership', 'resources']","['resources', 'secure', 'take', 'sweep up', 'prophylactic', 'rubber', 'leading', 'borrow', 'xd', 'dramatise', 'dramatize', 'leaders', 'condom', 'resourcefulness', 'take on', 'adopt', 'espouse', 'take up', 'dependable', 'acquire', 'imagination', 'follow', 'take in', 'embrace', 'resource', 'safe', 'leadership', 'assume', 'take over', 'good', 'adopting', 'safety']",['leadership'],"['xd safe leadership', 'safe leadership resources', 'adopting xd safe', 'adopting xd', 'resources']",['leadership'],"['leaders condom resourcefulness', 'adopting', 'embrace resource', 'sweep prophylactic rubber', 'borrow xd dramatise']",['adopting xd safe leadership resources'],"['safe leadership resources', 'adopting xd safe', 'leadership resources', 'safe leadership', 'adopting', 'resources', 'safe', 'leadership']",['leadership'],['leadership'],5,32,1,5,1,5,1,8,1,1
Organisational change enablement,5,Organisational change enablement 5,"Develops and implements cultural change plans across teams, ensuring alignment with long-term success. _x000D_
Coordinates cross-functional teams to support the adoption of new behaviours. Communicates how changes align with business goals and long-term success, focusing on emotional and behavioural impacts. Supports leaders and employees in exploring challenges associated with adopting new practices. _x000D_
Enables employees to develop the necessary skills and behaviours for sustained change.",develops implements cultural change plans across teams ensuring alignment longterm success _xd_ coordinates crossfunctional teams support adoption new behaviours communicates changes align business goals longterm success focusing emotional behavioural impacts supports leaders employees exploring challenges associated adopting new practices _xd_ enables employees develop necessary skills behaviours sustained change,"['coordinates', 'plans', 'xd', 'communicates', 'adoption', 'align business', 'sustained', 'adopting']","['put across', 'maintain', 'coordinate', 'borrow', 'xd', 'commune', 'programme', 'adoption', 'espousal', 'dramatise', 'take on', 'corroborate', 'substantiate', 'adopt', 'espouse', 'take up', 'communicate', 'free burning', 'organise', 'plan', 'keep up', 'keep', 'follow', 'pass', 'prolong', 'nurture', 'ordinate', 'get', 'transmit', 'borrowing', 'acceptance', 'sustained', 'hold up', 'contrive', 'architectural plan', 'have', 'suffer', 'assume', 'adopting', 'nourish', 'coordinates', 'take', 'sweep up', 'intercommunicate', 'confirm', 'co-ordinate', 'convey', 'dramatize', 'design', 'be after', 'hold', 'acceptation', 'acquire', 'program', 'affirm', 'sustain', 'plans', 'communicates', 'pass on', 'take in', 'pass along', 'embrace', 'align business', 'align', 'project', 'support', 'organize', 'take over']",[],"['adoption align business', 'business sustained adopting', 'xd communicates adoption', 'coordinates plans xd', 'business sustained']",[],"['xd commune programme', 'hold contrive architectural', 'embrace align business', 'ordinate convey dramatize', 'plan follow pass']",['coordinates plans xd communicates adoption align business sustained adopting'],"['business sustained adopting', 'communicates adoption align', 'adoption align business', 'align business sustained', 'coordinates plans', 'sustained adopting', 'plans xd communicates', 'communicates adoption', 'adoption align', 'align business', 'business sustained', 'coordinates', 'adopting', 'plans', 'communicates']",[],[],8,68,0,5,0,5,1,15,0,0
Organisational change enablement,6,Organisational change enablement 6,"Champions new ways of working that align with strategic opportunities. _x000D_
Influences and engages with senior executives to gain their support for change initiatives. _x000D_
Guides the development of strategies and roadmaps to drive long-term behavioural change.  Reviews progress, addresses challenges and ensures the sustainability of change initiatives._x000D_
Provides guidance to change leaders, focusing on the human aspects of organisational change.",champions new ways working align strategic opportunities _xd_ influences engages senior executives gain support change initiatives _xd_ guides development strategies roadmaps drive longterm behavioural change reviews progress addresses challenges ensures sustainability change initiatives_xd_ provides guidance change leaders focusing human aspects organisational change,"['sustainability', 'xd', 'align strategic', 'human']","['human', 'human being', 'homo', 'align strategic', 'man', 'xd', 'sustainability']",[],"['sustainability xd align', 'sustainability xd', 'sustainability', 'xd align strategic', 'strategic human']",[],"['man xd sustainability', 'strategic man xd', 'human human homo', 'align strategic', 'man']",['sustainability xd align strategic human'],"['align strategic human', 'sustainability xd align', 'strategic human', 'align strategic', 'sustainability', 'human', 'align', 'strategic']",[],[],4,7,0,5,0,5,1,8,0,0
Product management,2,Product management 2,"Assists with product management tasks under routine supervision. _x000D_
Helps create and curate content to support product usage._x000D_
Assists in monitoring results and feedback from product activities._x000D_
Supports problem resolution by collecting and reporting on feedback and usage data.",assists product management tasks routine supervision _xd_ helps create curate content support product usage_xd_ assists monitoring results feedback product activities_xd_ supports problem resolution collecting reporting feedback usage data,"['curate content', 'xd', 'collecting', 'support product', 'monitor result', 'product management', 'supervision']","['curate content', 'hoard', 'gather', 'xd', 'pile up', 'collecting', 'support product', 'pick up', 'collect', 'monitor result', 'collection', 'pull together', 'pull in', 'call for', 'gather up', 'superintendence', 'garner', 'aggregation', 'accumulate', 'take in', 'oversight', 'amass', 'assembling', 'product management', 'supervising', 'supervision', 'compile', 'roll up']",['product management'],"['product management supervision', 'curate content xd', 'support product monitor', 'collecting support', 'monitor result']","['product management', 'management', 'product']","['content hoard gather', 'product pick collect', 'accumulate oversight amass', 'product management supervising', 'collect monitor result']",['curate content xd collecting support product monitor result product management supervision'],"['product management supervision', 'collecting support product', 'support product monitor', 'product monitor result', 'monitor result product', 'result product management', 'curate content', 'management supervision', 'content xd collecting', 'collecting support', 'monitor result', 'support product', 'product monitor', 'result product', 'product management']",['product management'],"['product management', 'product', 'management']",7,28,1,5,3,5,1,15,1,3
Product management,3,Product management 3,"Creates and curates various content to support the adoption and usage of products or services. _x000D_
Monitors results and feedback from product campaigns. _x000D_
Applies standard techniques and tools to carry out analysis and performance monitoring activities for specified products. _x000D_
Supports problem resolution, resolves issues and acts on feedback for products in use.",creates curates various content support adoption usage products services _xd_ monitors results feedback product campaigns _xd_ applies standard techniques tools carry analysis performance monitoring activities specified products _xd_ supports problem resolution resolves issues acts feedback products use,"['acts', 'curates', 'monitoring activities', 'xd', 'adoption', 'monitor result', 'tools', 'analysis performance']","['play', 'behave', 'roleplay', 'pastor', 'xd', 'human activity', 'adoption', 'bit', 'espousal', 'creature', 'do', 'cock', 'monitor result', 'puppet', 'putz', 'minister', 'dissemble', 'acts', 'monitoring activities', 'enactment', 'pecker', 'shaft', 'borrowing', 'curate', 'rector', 'acceptance', 'tools', 'minister of religion', 'analysis performance', 'playact', 'act as', 'joyride', 'curates', 'peter', 'pretend', 'dick', 'human action', 'acts of the apostles', 'turn', 'number', 'parson', 'tool around', 'deed', 'acceptation', 'prick', 'routine', 'move', 'tool', 'instrument', 'act', 'represent', 'work']","['analysis', 'performance monitoring']","['xd adoption monitor', 'acts curates monitoring', 'result tools analysis', 'activities xd', 'performance']","['analysis performance monitoring', 'performance monitoring', 'analysis performance', 'monitoring', 'analysis']","['roleplay pastor xd', 'activities enactment pecker', 'play behave', 'acceptance tools minister', 'bit espousal creature']",['acts curates monitoring activities xd adoption monitor result tools analysis performance'],"['acts curates monitoring', 'tools analysis performance', 'curates monitoring activities', 'adoption monitor result', 'monitor result tools', 'result tools analysis', 'acts curates', 'analysis performance', 'curates monitoring', 'monitoring activities', 'activities xd adoption', 'adoption monitor', 'monitor result', 'result tools', 'tools analysis']",['analysis performance monitoring'],"['analysis performance monitoring', 'analysis performance', 'performance monitoring', 'analysis', 'monitoring', 'performance']",8,52,2,5,5,5,1,15,1,6
Product management,4,Product management 4,"Manages one or more lower-value products or services. _x000D_
Prioritises product requirements and develops product roadmaps. Owns the product backlog. Manages elements of the product lifecycle to meet customer/user needs and achieve financial or other targets. _x000D_
Uses insights from market and/or user research, feedback, expert opinion and usage data to understand needs and opportunities. _x000D_
Facilitates uptake of products by developing content, supporting and evaluating campaigns and monitoring product performance. Rolls out product trials and product launches.",manages one lowervalue products services _xd_ prioritises product requirements develops product roadmaps owns product backlog manages elements product lifecycle meet customeruser needs achieve financial targets _xd_ uses insights market andor user research feedback expert opinion usage data understand needs opportunities _xd_ facilitates uptake products developing content supporting evaluating campaigns monitoring product performance rolls product trials product launches,"['product lifecycle', 'manages', 'xd', 'targets', 'product requirement', 'backlog', 'developing content', 'campaign monitor', 'user research']","['grapple', 'xd', 'prey', 'wield', 'do', 'targets', 'aim', 'bring off', 'superintend', 'supervise', 'object', 'place', 'care', 'developing content', 'campaign monitor', 'pull off', 'product lifecycle', 'direct', 'quarry', 'manages', 'carry off', 'stockpile', 'make do', 'handle', 'product requirement', 'backlog', 'oversee', 'fair game', 'reserve', 'finagle', 'get by', 'mark', 'cope', 'target', 'manage', 'wangle', 'objective', 'butt', 'make out', 'point', 'target area', 'contend', 'negociate', 'deal', 'user research']","['feedback', 'user research']","['product lifecycle manages', 'xd targets product', 'content campaign monitor', 'requirement backlog', 'user research']","['feedback user research', 'feedback', 'user research', 'research', 'user']","['grapple xd prey', 'target manage', 'quarry manages', 'deal user research', 'product lifecycle']",['product lifecycle manages xd targets product requirement backlog developing content campaign monitor user research'],"['monitor user research', 'requirement backlog developing', 'backlog developing content', 'developing content campaign', 'content campaign monitor', 'campaign monitor user', 'product lifecycle manages', 'targets product requirement', 'product requirement backlog', 'user research', 'lifecycle manages', 'manages xd targets', 'requirement backlog', 'backlog developing', 'developing content']",['feedback user research'],"['feedback user research', 'feedback user', 'user research', 'feedback', 'research', 'user']",9,45,2,5,5,5,1,15,1,6
Product management,5,Product management 5,"Manages the full product lifecycle to meet customer/user needs and achieve targets. _x000D_
Selects and adapts appropriate product development methods, tools and techniques. _x000D_
Uses insights from market and/or user research, feedback and usage data to understand needs and opportunities. Develops product propositions and determines positioning and variants for different segments. Prioritises requirements and develops product roadmaps. _x000D_
Coordinates customer testing, product launches and supports communications and training. Adapts products based on changing customer/user needs and creates retirement and transition plans.",manages full product lifecycle meet customeruser needs achieve targets _xd_ selects adapts appropriate product development methods tools techniques _xd_ uses insights market andor user research feedback usage data understand needs opportunities develops product propositions determines positioning variants different segments prioritises requirements develops product roadmaps _xd_ coordinates customer testing product launches supports communications training adapts products based changing customeruser needs creates retirement transition plans,"['product lifecycle', 'transition plan', 'coordinates', 'manages', 'xd', 'positioning', 'testing product', 'communication training', 'targets', 'adapts', 'development tools', 'tools', 'product development', 'user research']","['xd', 'emplacement', 'prey', 'positioning', 'wield', 'set', 'cock', 'do', 'puppet', 'targets', 'adapts', 'putz', 'product development', 'put', 'transition plan', 'organise', 'pecker', 'shaft', 'ordinate', 'place', 'pose', 'joyride', 'coordinates', 'peter', 'carry off', 'make do', 'adjust', 'communication training', 'dick', 'fair game', 'placement', 'finagle', 'get by', 'tool around', 'accommodate', 'prick', 'objective', 'butt', 'tool', 'align', 'adapt', 'instrument', 'contend', 'organize', 'quarry', 'user research', 'grapple', 'coordinate', 'creature', 'conform', 'aim', 'bring off', 'superintend', 'supervise', 'object', 'position', 'development tools', 'tools', 'care', 'pull off', 'product lifecycle', 'manages', 'co-ordinate', 'testing product', 'handle', 'oversee', 'locating', 'location', 'mark', 'cope', 'lay', 'target', 'manage', 'wangle', 'make out', 'point', 'target area', 'aligning', 'negociate', 'deal', 'direct']","['feedback', 'user research']","['product development', 'xd positioning testing', 'targets adapts development', 'transition plan coordinates', 'communication training targets']","['feedback user research', 'feedback', 'user research', 'research', 'user']","['position development tools', 'xd emplacement prey', 'puppet targets adapts', 'organize quarry', 'wield set cock']",['product lifecycle transition plan coordinates manages xd positioning testing product communication training targets adapts development tools tools product development user research'],"['development user research', 'lifecycle transition plan', 'transition plan coordinates', 'plan coordinates manages', 'communication training targets', 'training targets adapts', 'targets adapts development', 'positioning testing product', 'product lifecycle transition', 'testing product communication', 'product communication training', 'adapts development tools', 'product development user', 'development tools tools', 'tools tools product']",['feedback user research'],"['feedback user research', 'feedback user', 'user research', 'feedback', 'research', 'user']",14,81,2,5,5,5,1,15,1,6
Product management,6,Product management 6,"Oversees the organisation’s product and services portfolio and the delivery of customer value and/or user satisfaction. _x000D_
Creates the product lifecycle management framework for internal and external customers and users. Champions the value of product management principles and appropriate product development models. _x000D_
Aligns the product management objectives with business objectives and authorises the selection and planning of all product management activities. _x000D_
Initiates the creation of new products and services. Identifies how developing new products or adapting existing products can create new opportunities.",oversees organisations product services portfolio delivery customer value andor user satisfaction _xd_ creates product lifecycle management framework internal external customers users champions value product management principles appropriate product development models _xd_ aligns product management objectives business objectives authorises selection planning product management activities _xd_ initiates creation new products services identifies developing new products adapting existing products create new opportunities,"['lifecycle management', 'product lifecycle', 'product lifecycle management', 'development models', 'xd', 'adapting', 'customer value', 'new products', 'activities', 'product management', 'product development', 'planning product', 'customers users']","['product lifecycle', 'lifecycle management', 'product lifecycle management', 'development models', 'xd', 'customer value', 'adjust', 'new products', 'conform', 'activeness', 'activity', 'product development', 'action', 'planning product', 'body process', 'accommodate', 'natural action', 'bodily process', 'bodily function', 'adapting', 'activities', 'product management', 'adapt', 'natural process', 'customers users']","['product management', 'management']","['product lifecycle management', 'planning product customers', 'xd adapting customer', 'value new products', 'management development models']","['product management management', 'product management', 'management management', 'management', 'product']","['product lifecycle management', 'activity product development', 'development models xd', 'xd customer value', 'bodily function adapting']",['lifecycle management product lifecycle product lifecycle management development models xd adapting customer value new products activities product management product development planning product customers users'],"['lifecycle management development', 'management development models', 'lifecycle product lifecycle', 'product customers users', 'lifecycle management product', 'management product lifecycle', 'product lifecycle management', 'activities product management', 'product development planning', 'development planning product', 'planning product customers', 'management product development', 'product lifecycle product', 'products activities product', 'product management product']",['product management management'],"['product management management', 'product management', 'management management', 'product', 'management']",13,25,2,5,5,5,1,15,1,5
Systems development management,4,Systems development management 4,"Contributes to the planning and management of systems development work._x000D_
Adopts and applies appropriate systems development methods, tools and techniques in line with agreed standards. _x000D_
Engages with stakeholders to ensure systems development deliverables meet requirements and quality expectations. Manages risks and issues related to systems development activities, escalating as needed. _x000D_
Contributes to the continuous improvement of systems development processes and practices.",contributes planning management systems development work_xd_ adopts applies appropriate systems development methods tools techniques line agreed standards _xd_ engages stakeholders ensure systems development deliverables meet requirements quality expectations manages risks issues related systems development activities escalating needed _xd_ contributes continuous improvement systems development processes practices,"['management system', 'continuous improvement', 'engages stakeholders', 'xd', 'activities', 'system development', 'manages risks', 'tools', 'planning', 'expectations manages']","['management system', 'engages stakeholders', 'xd', 'creature', 'cock', 'puppet', 'putz', 'action', 'bodily process', 'plan', 'pecker', 'shaft', 'manages risks', 'tools', 'planning', 'contrive', 'natural process', 'preparation', 'joyride', 'peter', 'design', 'dick', 'system development', 'be after', 'activeness', 'activity', 'tool around', 'body process', 'natural action', 'prick', 'continuous improvement', 'bodily function', 'provision', 'activities', 'tool', 'instrument', 'project', 'expectations manages']",[],"['management continuous improvement', 'stakeholders xd activities', 'manages risks tools', 'development manages', 'planning expectations manages']",[],"['manages', 'stakeholders xd creature', 'plan pecker shaft', 'development activeness activity', 'bodily function provision']",['management system continuous improvement engages stakeholders xd activities system development manages risks tools planning expectations manages'],"['management system continuous', 'continuous improvement engages', 'improvement engages stakeholders', 'risks tools planning', 'tools planning expectations', 'system continuous improvement', 'activities system development', 'development manages risks', 'manages risks tools', 'planning expectations manages', 'system development manages', 'management system', 'continuous improvement', 'improvement engages', 'engages stakeholders']",[],[],10,38,0,5,0,5,1,15,0,0
Systems development management,5,Systems development management 5,"Plans and drives systems development work to deliver the organisation's objectives and plans. _x000D_
Selects, adopts and adapts appropriate systems development methods, tools and techniques. Ensures stakeholders are aware of required resources and that they are made available. Facilitates availability and optimum utilisation of resources. _x000D_
Monitors and reports on the progress of development projects. Ensures projects are carried out in accordance with agreed architectures, standards, methods and tools and addresses security and privacy requirements. _x000D_
Develops roadmaps to communicate future development activity.",plans drives systems development work deliver organisations objectives plans _xd_ selects adopts adapts appropriate systems development methods tools techniques ensures stakeholders aware required resources made available facilitates availability optimum utilisation resources _xd_ monitors reports progress development projects ensures projects carried accordance agreed architectures standards methods tools addresses security privacy requirements _xd_ develops roadmaps communicate future development activity,"['reports progress', 'plans', 'xd', 'architectures standards', 'communicate', 'adapts', 'system development', 'activity', 'tools', 'reports development', 'resources']","['put across', 'reports progress', 'xd', 'architectures standards', 'programme', 'commune', 'creature', 'cock', 'resourcefulness', 'puppet', 'adapts', 'conform', 'putz', 'action', 'communicate', 'bodily process', 'plan', 'imagination', 'pass', 'pecker', 'shaft', 'transmit', 'resource', 'tools', 'contrive', 'architectural plan', 'natural process', 'resources', 'instrument', 'joyride', 'intercommunicate', 'peter', 'convey', 'adjust', 'design', 'dick', 'system development', 'be after', 'activity', 'activeness', 'reports development', 'tool around', 'body process', 'accommodate', 'natural action', 'program', 'prick', 'bodily function', 'plans', 'pass on', 'pass along', 'tool', 'adapt', 'project']",[],"['reports development resources', 'xd architectures standards', 'progress plans xd', 'communicate adapts development', 'activity tools']",[],"['cock resourcefulness puppet', 'development activity', 'bodily function plans', 'xd architectures standards', 'pass tool adapt']",['reports progress plans xd architectures standards communicate adapts system development activity tools reports development resources'],"['architectures standards communicate', 'standards communicate adapts', 'communicate adapts system', 'reports development resources', 'reports progress plans', 'adapts system development', 'system development activity', 'development activity tools', 'activity tools reports', 'tools reports development', 'development resources', 'progress plans', 'plans xd architectures', 'architectures standards', 'standards communicate']",[],[],11,54,0,5,0,5,1,15,0,0
